order_id,customer_id,restaurant_id,order_timestamp,order_amount,discount_amount,delivery_fee,payment_mode,order_status
O000001,C03175,R0115,9/28/2025,1079.36,107.94,39,Cash,Refunded
O000002,C02432,R0077,2/13/2024,1499.63,149.96,42,Card,Delivered
O000003,C01133,R0131,3/7/2024,597.18,59.72,22,Cash,Delivered
O000004,C04813,R0109,1/27/2025,1257.48,125.75,53,Wallet,Delivered
O000005,C04948,R0001,10/25/2024,1010.57,0,28,Wallet,Delivered
O000006,C01825,R0110,11/5/2025,1211.84,121.18,27,UPI,Refunded
O000007,C03728,R0066,5/22/2024,697.48,69.75,56,UPI,Cancelled
O000008,C04022,R0070,4/13/2024,348.11,0,34,UPI,Cancelled
O000009,C01287,R0097,2/15/2026,671.58,0,59,UPI,Delivered
O000010,C03543,R0033,12/2/2025,825.79,0,40,UPI,Delivered
O000011,C01535,R0116,5/6/2025,1043.57,0,30,UPI,Delivered
O000012,C00730,R0137,1/25/2024,741.62,0,34,Cash,Cancelled
O000013,C02991,R0068,3/27/2024,759.12,75.91,55,UPI,Delivered
O000014,C02158,R0144,5/17/2025,533.36,0,47,Card,Cancelled
O000015,C00536,R0078,5/22/2025,411.96,41.2,39,UPI,Refunded
O000016,C03438,R0183,11/2/2025,642.6,0,25,Wallet,Delivered
O000017,C00465,R0169,1/30/2025,523.91,0,53,Cash,Cancelled
O000018,C03813,R0179,7/9/2025,1436.69,0,25,Card,Refunded
O000019,C02596,R0192,2/21/2024,1458.62,145.86,36,UPI,Refunded
O000020,C04391,R0187,1/14/2025,1388.36,0,36,UPI,Delivered
O000021,C01457,R0194,3/29/2026,809.96,0,56,UPI,Delivered
O000022,C01354,R0117,7/27/2024,1122.3,0,59,UPI,Delivered
O000023,C00330,R0159,12/23/2024,1245.68,124.57,29,Wallet,Cancelled
O000024,C03256,R0028,12/7/2025,1385.83,0,47,UPI,Delivered
O000025,C01970,R0181,1/28/2024,1463.95,0,30,Wallet,Delivered
O000026,C03354,R0014,4/22/2026,1371.73,0,34,Card,Refunded
O000027,C03809,R0025,11/30/2024,1399.48,0,57,Card,Refunded
O000028,C01688,R0127,9/4/2025,1039.36,103.94,33,UPI,Delivered
O000029,C04993,R0088,4/29/2025,375.98,0,21,UPI,Delivered
O000030,C02395,R0102,10/5/2025,1494.37,0,36,UPI,Delivered
O000031,C01417,R0006,8/8/2025,832.19,83.22,23,Cash,Refunded
O000032,C03156,R0077,2/11/2024,952.83,95.28,22,Wallet,Cancelled
O000033,C04912,R0008,3/15/2026,1016.04,101.6,42,UPI,Delivered
O000034,C00772,R0123,12/3/2024,420.59,0,34,UPI,Delivered
O000035,C00181,R0111,11/16/2024,1088.19,0,27,Card,Delivered
O000036,C02217,R0200,1/28/2025,1468.44,146.84,60,Cash,Delivered
O000037,C00747,R0063,4/4/2024,1429.36,142.94,28,UPI,Refunded
O000038,C02981,R0180,10/5/2024,814.98,0,52,UPI,Refunded
O000039,C00999,R0074,5/31/2024,1276.79,0,54,Card,Cancelled
O000040,C03926,R0132,2/5/2025,754.69,0,52,Wallet,Delivered
O000041,C01593,R0090,1/4/2024,1047.87,104.79,24,Card,Refunded
O000042,C01264,R0134,7/14/2025,537.96,0,53,Wallet,Refunded
O000043,C03866,R0007,6/30/2025,1005.71,100.57,29,UPI,Cancelled
O000044,C01894,R0154,4/30/2024,443.6,0,50,UPI,Delivered
O000045,C04782,R0017,3/22/2025,309.8,30.98,46,Cash,Cancelled
O000046,C02148,R0066,2/19/2024,849.15,0,53,UPI,Delivered
O000047,C02632,R0159,3/22/2024,1242.26,124.23,22,Cash,Delivered
O000048,C00639,R0139,9/6/2024,674.9,67.49,45,Wallet,Delivered
O000049,C03795,R0046,12/7/2024,341.78,0,41,Wallet,Delivered
O000050,C01610,R0105,2/9/2026,518.54,51.85,56,UPI,Delivered
O000051,C02067,R0016,2/18/2025,896.63,0,35,UPI,Cancelled
O000052,C04069,R0091,9/23/2025,1320.9,0,51,UPI,Cancelled
O000053,C04106,R0110,12/5/2024,1230.92,123.09,29,UPI,Delivered
O000054,C00884,R0011,10/29/2024,458.49,45.85,31,UPI,Delivered
O000055,C03323,R0150,1/21/2024,299.14,0,44,UPI,Delivered
O000056,C00442,R0171,8/11/2024,920.88,92.09,22,Cash,Refunded
O000057,C02706,R0103,1/15/2026,326.57,0,54,Wallet,Delivered
O000058,C04803,R0076,8/10/2025,739.95,0,27,Cash,Cancelled
O000059,C04373,R0188,1/3/2026,1335.6,0,58,Card,Refunded
O000060,C02739,R0021,4/21/2026,1127.84,0,59,Wallet,Delivered
O000061,C04455,R0184,2/12/2024,1467.44,146.74,43,Cash,Cancelled
O000062,C02699,R0020,6/28/2025,630.68,63.07,43,UPI,Delivered
O000063,C02967,R0006,6/17/2024,700.44,0,59,Cash,Refunded
O000064,C03353,R0009,12/7/2024,1306.36,130.64,44,UPI,Delivered
O000065,C01918,R0039,11/1/2024,592.24,59.22,33,Cash,Delivered
O000066,C03757,R0074,1/2/2025,373.15,37.31,36,Card,Delivered
O000067,C03410,R0173,8/16/2024,1042.71,0,59,Wallet,Delivered
O000068,C00480,R0005,7/27/2025,587.46,0,27,UPI,Delivered
O000069,C00544,R0180,4/3/2024,1448.11,0,60,Card,Cancelled
O000070,C01089,R0143,12/8/2024,626.96,62.7,27,Wallet,Refunded
O000071,C00450,R0143,9/12/2024,1291.47,129.15,60,Wallet,Delivered
O000072,C00606,R0057,3/13/2024,330.09,33.01,56,Wallet,Delivered
O000073,C00694,R0139,1/2/2024,709.35,70.94,59,Wallet,Refunded
O000074,C01900,R0096,4/4/2025,781.06,0,32,Wallet,Cancelled
O000075,C00376,R0141,2/1/2024,354.52,0,50,UPI,Cancelled
O000076,C01082,R0081,7/24/2025,1427.74,0,29,Cash,Cancelled
O000077,C03101,R0047,2/15/2025,558.46,0,47,Card,Delivered
O000078,C00217,R0123,10/15/2024,577.21,57.72,25,UPI,Delivered
