restaurant_id,restaurant_name,cuisine,city,avg_rating
R0001,Chaayos,Fast Food,Hyderabad,4.50
R0002,Chaayos,North Indian,Gurugram,4.50
R0003,Barbeque Nation,Pizza,Chennai,4.10
R0004,KFC,Pizza,Pune,4.40
R0005,Pizza Hut,North Indian,Mumbai,5.00
R0006,Burger King,Healthy,Noida,4.60
R0007,Barbeque Nation,Cafe,Hyderabad,4.60
R0008,Chaayos,Pizza,Delhi,3.70
R0009,Biryani By Kilo,Healthy,Pune,4.00
R0010,Burger King,Fast Food,Noida,4.60
R0011,Barbeque Nation,North Indian,Pune,4.80
R0012,McDonald's,North Indian,Bengaluru,4.10
R0013,Biryani By Kilo,Fast Food,Gurugram,4.00
R0014,KFC,Pizza,Mumbai,4.20
R0015,McDonald's,Healthy,Pune,3.70
R0016,Burger King,Pizza,Chennai,4.70
R0017,Domino's Pizza,Biryani,Chennai,4.70
R0018,Burger King,Cafe,Chennai,5.00
R0019,Chaayos,Pizza,Bengaluru,4.50
R0020,Burger King,Fast Food,Noida,4.90
R0021,Barbeque Nation,Fast Food,Mumbai,4.40
R0022,Behrouz Biryani,North Indian,Chennai,3.90
R0023,Starbucks,Fast Food,Mumbai,4.10
R0024,Biryani By Kilo,Pizza,Noida,3.80
R0025,Haldiram's,Fast Food,Pune,4.80
R0026,Haldiram's,Biryani,Delhi,3.50
R0027,KFC,Fast Food,Pune,4.20
R0028,Haldiram's,Fast Food,Hyderabad,4.80
R0029,Biryani By Kilo,Fast Food,Pune,4.00
R0030,Chaayos,Cafe,Noida,4.50
R0031,Burger King,North Indian,Chennai,4.60
R0032,Barbeque Nation,Cafe,Gurugram,4.00
R0033,McDonald's,Cafe,Chennai,4.30
R0034,Pizza Hut,Healthy,Noida,4.30
R0035,Pizza Hut,Biryani,Hyderabad,4.60
R0036,Subway,Healthy,Pune,4.50
R0037,Barbeque Nation,North Indian,Pune,4.70
R0038,Haldiram's,Pizza,Mumbai,4.50
R0039,Starbucks,North Indian,Mumbai,3.60
R0040,Behrouz Biryani,Cafe,Gurugram,4.40
R0041,McDonald's,North Indian,Noida,4.20
R0042,Chaayos,North Indian,Chennai,4.80
R0043,Haldiram's,North Indian,Bengaluru,4.60
R0044,Starbucks,Pizza,Delhi,3.60
R0045,Biryani By Kilo,Cafe,Mumbai,4.00
R0046,KFC,North Indian,Delhi,4.30
R0047,Starbucks,Cafe,Pune,3.50
R0048,Chaayos,Biryani,Pune,4.00
R0049,Barbeque Nation,Fast Food,Bengaluru,4.10
R0050,Subway,Cafe,Mumbai,3.60
R0051,Burger King,Cafe,Gurugram,4.90
R0052,Behrouz Biryani,Pizza,Pune,3.90
R0053,Starbucks,Cafe,Chennai,4.50
R0054,Domino's Pizza,Pizza,Hyderabad,4.10
R0055,Chaayos,Biryani,Bengaluru,4.60
R0056,KFC,North Indian,Bengaluru,4.00
R0057,Behrouz Biryani,Cafe,Bengaluru,4.90
R0058,KFC,Cafe,Hyderabad,3.70
R0059,Pizza Hut,Biryani,Hyderabad,4.20
R0060,Domino's Pizza,Biryani,Hyderabad,5.00
R0061,Subway,Biryani,Delhi,4.50
R0062,Subway,Pizza,Chennai,3.60
R0063,Burger King,North Indian,Pune,3.70
R0064,Chaayos,Pizza,Delhi,4.60
R0065,Burger King,Cafe,Gurugram,3.50
R0066,Domino's Pizza,Healthy,Mumbai,4.80
R0067,Haldiram's,Healthy,Delhi,4.70
R0068,Barbeque Nation,Biryani,Chennai,4.40
R0069,Pizza Hut,Fast Food,Noida,4.70
R0070,Chaayos,Pizza,Noida,4.40
R0071,Behrouz Biryani,Cafe,Bengaluru,4.20
R0072,Biryani By Kilo,Pizza,Bengaluru,4.40
R0073,McDonald's,North Indian,Bengaluru,3.60
